Name,Website,Cuisine,Google Rating,Location,Cost,Notes
Una Pizza Napoletana,https://unapizza.com/,,4.3,Manhattan,,
Thai Diner,http://www.thaidiner.com/,,4.4,Manhattan,,
Russ & Daughters Cafe,https://russanddaughters.com/,,4.6,Manhattan,$$,
Tomiño Taberna Gallega,http://www.tominonyc.com/,,4.7,Manhattan,$$,
Spy C Cuisine,http://www.spycnyc.com/,,4.4,Queens,$$,
Nyonya,,,4.3,Manhattan,$$,
Bolero Blue Jeans,,,,Manhattan,,
Llama Inn,https://www.llamainnnyc.com/,,4.3,Brooklyn,$$$,
West New Malaysia,https://westmalaysiatogo.com/,,4.6,Manhattan,,
hanon,https://m.facebook.com/hanonbrooklyn,,4.5,Brooklyn,$$,
Dim Sum Go Go,https://www.dimsumgogonyc.com/,,4.1,Manhattan,$$,
Ammazzacaffè,http://www.ammazzacaffe.nyc/,,4.4,Brooklyn,$$,
Xixa,http://xixany.com/,,4.6,Brooklyn,$$$,
Shalom Japan,http://shalomjapannyc.com/,,4.3,Brooklyn,$$$,
Win Son,https://winsonbrooklyn.com/,,4.6,Brooklyn,$$,
Gentle Perch,,,4.3,Brooklyn,$$,
Roberta's Pizza,http://www.robertaspizza.com/,,4.3,Manhattan,$$,
Gordo's Cantina,http://gordoscantina.com/,,4.6,Brooklyn,$$,
Caleta 111,http://www.caleta111.com/,,4.5,Queens,$$,
Mao Mao,http://www.maomaobrooklyn.com/,,4.4,Brooklyn,,
Miss Ada,http://www.missadanyc.com/,,4.7,Brooklyn,$$,
Saint Julivert,http://www.saintjulivertbk.com/,,4.7,Brooklyn,,
For All Things Good Bed-Stuy,http://forallthingsgoodbk.com/,,4.7,Brooklyn,,
Mile End Delicatessen,http://www.mileenddeli.com/,,4.3,Brooklyn,$$,
Speedy Romeo,http://www.speedyromeo.com/,,4.4,Brooklyn,$$,
Convivium Osteria,https://conviviumosteria.com/,,4.3,Brooklyn,$$$,
Ugly Baby,http://www.uglybabynyc.com/,,4.5,Brooklyn,$$,
Maison Yaki,,,4.2,Brooklyn,,
Rangoon,https://www.rangoon.nyc/,,4.1,Brooklyn,$$,
Haenyeo,https://haenyeobk.com/,,4.6,Brooklyn,$$,
Hometown Bar-B-Que,http://www.hometownbarbque.com/,,4.5,Brooklyn,$$,
Chavela's,http://chavelasnyc.com/,,4.5,Brooklyn,$$,
WINNER,http://winner.nyc/,,4.6,Brooklyn,,
Enoteca Maria,http://www.enotecamaria.com/,,4.6,Staten Island,$$,
Purple Yam,https://www.purpleyamnyc.com/,,4.3,Brooklyn,$$,
Chuan Tian Xia,https://chuantianxiany.com/,,4.0,Brooklyn,$$,
Sagara food city,http://sagarafoodcity.com/,,4.4,Staten Island,$,
Tanoreen,http://www.tanoreen.com/,,4.5,Brooklyn,$$,
Old Tbilisi Garden,https://oldtbilisigarden.com/,,4.4,Manhattan,$$,
Vinum,http://www.vinumnyc.com/,,4.6,Staten Island,$$,
