Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
Kanoyama,Kanoyama,http://www.kanoyama.com/,"Japanese, Sushi Bars",Manhattan,$$,,4.3,4.0
The River Café,The River Café,https://www.rivercafe.com/,"American (New), Wine Bars, Venues & Event Spaces",Brooklyn,$$$$,,4.4,4.0
Torien,Torien,http://www.torien-nyc.com/,Japanese,Manhattan,$$,,4.5,4.5
Hirohisa,Hirohisa,https://www.hirohisa.nyc/,Japanese,Manhattan,$$$,,4.4,4.5
Clover Hill,Clover Hill,http://cloverhillbk.com/,American (New),Brooklyn,,,4.5,4.5
Frevo,Frevo,http://frevonyc.com/,"French, Modern European, Art Galleries",Manhattan,$$$$,,4.8,4.5
Gramercy Tavern,Gramercy Tavern,http://www.gramercytavern.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,American (New),Manhattan,$$$$,,4.6,4.5
Family Meal at Blue Hill Farm,Family Meal at Blue Hill,https://www.bluehillfarm.com/,American (New),Manhattan,$$$$,,4.6,4.5
Jua,Jua,http://www.juanyc.com/,Korean,Manhattan,$$$$,,4.8,5.0
Le Pavillon,Le Pavillon,https://lepavillonnyc.com/,"French, American (New)",Manhattan,$$$$,,4.7,4.5
Kochi,Kochi,http://kochinyc.com/,"Korean, Venues & Event Spaces, Wine Bars",Manhattan,$$$$,,4.7,4.5
Oiji MI,Oiji Mi,http://www.oijimi.com/,"Korean, Bars",Manhattan,$$$$,,4.6,4.5
Mari,Mari,http://marinyc.com/,Korean,Manhattan,$$$$,,4.6,4.0
Rezdôra,Rezdôra,,Italian,Manhattan,,,4.3,4.0
Dirt Candy,Dirt Candy,http://www.dirtcandynyc.com/,"Vegetarian, Vegan",Manhattan,$$,,4.5,4.0
63 Clinton,Sixty Three Clinton,https://www.63clinton.com/,"American (New), Wine Bars, Cocktail Bars",Manhattan,$$$$,,4.8,4.5
Claro BK,Claro,http://clarobk.com/,"Mexican, New Mexican Cuisine, Cocktail Bars",Brooklyn,$$$,,4.6,4.0
Cote,COTE Korean Steakhouse,https://www.cotenyc.com/,"Korean, Steakhouses, Cocktail Bars",Manhattan,$$$$,,4.6,4.0
Le Jardinier,Le Jardinier,https://lejardinier-nyc.com/,French,Manhattan,,,4.6,4.0
Vestry,Vestry,https://www.vestrynyc.com/,"Seafood, American (New)",Manhattan,$$$,,4.1,4.0
